City,Latitude,Degrees From Equator,Longitude,Temperature,Humidity,Cloudiness,Wind Speed
Lambarene,-0.7001,0.7001,10.2406,23.0,95.0,100.0,0.74
Maningrida,-12.0667,12.0667,134.2667,32.0,30.0,100.0,5.54
Egvekinot,66.3167,66.3167,-179.1667,-1.0,84.0,100.0,1.2
Verkhnevilyuysk,63.4453,63.4453,120.3167,1.0,95.0,100.0,3.2
Souillac,-20.5167,20.5167,57.5167,26.0,94.0,75.0,6.17
Yeppoon,-23.1333,23.1333,150.7333,24.0,46.0,75.0,3.09
Norman Wells,65.282,65.282,-126.8329,-1.0,80.0,75.0,4.12
Santa Maria,-29.6842,29.6842,-53.8069,17.0,59.0,62.0,1.86
Husavik,66.0449,66.0449,-17.3389,2.0,93.0,0.0,2.06
Jalu,29.0331,29.0331,21.5482,23.0,18.0,37.0,6.72
Price,39.5994,39.5994,-110.8107,4.0,33.0,1.0,3.09
Laramie,41.3114,41.3114,-105.5911,-1.0,93.0,1.0,4.12
Mecca,21.4267,21.4267,39.8261,31.0,24.0,62.0,2.02
Nuuk,64.1835,64.1835,-51.7216,0.0,93.0,4.0,7.72
Castro,-24.7911,24.7911,-50.0119,11.0,92.0,7.0,0.87
Heswall,53.3273,53.3273,-3.0965,6.0,65.0,100.0,4.63
Sur,22.5667,22.5667,59.5289,34.0,29.0,0.0,0.62
Bibiani,6.4635,6.4635,-2.3194,23.0,96.0,100.0,0.89
Iqaluit,63.7506,63.7506,-68.5145,-2.0,100.0,90.0,3.6
Lompoc,34.6391,34.6391,-120.4579,10.0,76.0,3.0,2.06
Provideniya,64.3833,64.3833,-173.3,3.0,69.0,56.0,1.75
Hithadhoo,-0.6,0.6,73.0833,28.0,69.0,60.0,1.27
Am Timan,11.0297,11.0297,20.2827,27.0,55.0,100.0,4.53
Amposta,40.7131,40.7131,0.581,7.0,94.0,100.0,1.62
Gamba,-2.65,2.65,10.0,24.0,94.0,100.0,1.91
San Jeronimo,-11.9472,11.9472,-75.2829,7.0,88.0,57.0,0.55
Kaeo,-35.1,35.1,173.7833,19.0,68.0,40.0,1.34
Dingle,10.9995,10.9995,122.6711,32.0,54.0,93.0,4.03
Albany,42.6001,42.6001,-73.9662,6.0,64.0,2.0,3.65
Mandera,3.9366,3.9366,41.867,28.0,65.0,89.0,4.63
Soyo,-6.1349,6.1349,12.3689,25.0,88.0,97.0,1.94
North Platte,41.1239,41.1239,-100.7654,3.0,75.0,1.0,6.17
Bredasdorp,-34.5322,34.5322,20.0403,6.0,93.0,98.0,1.03
Jamestown,42.097,42.097,-79.2353,5.0,53.0,1.0,3.6
Ilulissat,69.2167,69.2167,-51.1,-2.0,69.0,100.0,0.51
Thessalon,46.2501,46.2501,-83.5666,5.0,70.0,1.0,2.17
Ponta Do Sol,32.6667,32.6667,-17.1,13.0,82.0,25.0,1.79
Kahului,20.8947,20.8947,-156.47,21.0,78.0,1.0,8.23
Bluff,-46.6,46.6,168.3333,12.0,80.0,41.0,1.79
Puerto Ayora,-0.7393,0.7393,-90.3518,25.0,95.0,11.0,2.24
Milkovo,54.7167,54.7167,158.6167,8.0,65.0,97.0,0.94
Arraial Do Cabo,-22.9661,22.9661,-42.0278,22.0,82.0,28.0,6.59
Severo-Kurilsk,50.6789,50.6789,156.125,3.0,88.0,95.0,2.79
Baykit,61.67,61.67,96.37,4.0,79.0,85.0,0.45
Dudinka,69.4058,69.4058,86.1778,0.0,99.0,100.0,6.9
Luwuk,-0.9516,0.9516,122.7875,29.0,71.0,96.0,2.1
Puerto Escondido,15.85,15.85,-97.0667,27.0,73.0,99.0,2.16
Clyde River,70.4692,70.4692,-68.5914,-15.0,85.0,90.0,2.06
Makakilo City,21.3469,21.3469,-158.0858,23.0,61.0,20.0,3.09
Beya,53.0533,53.0533,90.9139,3.0,66.0,100.0,1.29
Lebu,-37.6167,37.6167,-73.65,11.0,88.0,91.0,4.66
Kirakira,-10.4544,10.4544,161.9205,29.0,67.0,77.0,2.23
Emporia,38.4039,38.4039,-96.1817,11.0,93.0,90.0,4.63
Cidreira,-30.1811,30.1811,-50.2056,20.0,84.0,0.0,6.51
Kindia,10.0569,10.0569,-12.8658,22.0,68.0,67.0,1.31
Srednekolymsk,67.45,67.45,153.6833,-9.0,92.0,100.0,8.5
Lagoa,39.05,39.05,-27.9833,14.0,72.0,66.0,14.73
Broome,42.2506,42.2506,-75.833,3.0,49.0,1.0,3.6
Yellowknife,62.456,62.456,-114.3525,-11.0,62.0,90.0,1.54
Airai,-8.9266,8.9266,125.4092,22.0,63.0,30.0,1.66
Hervey Bay,-25.2986,25.2986,152.8535,25.0,53.0,12.0,3.58
Cape Town,-33.9258,33.9258,18.4232,15.0,88.0,0.0,3.09
Esmeraldas,-19.7625,19.7625,-44.3139,16.0,82.0,0.0,1.33
Praia Da Vitoria,38.7333,38.7333,-27.0667,13.0,76.0,40.0,15.11
Mataram,-8.5833,8.5833,116.1167,32.0,51.0,75.0,1.54
Kapaa,22.0752,22.0752,-159.319,23.0,69.0,90.0,7.72
Saldanha,-33.0117,33.0117,17.9442,11.0,82.0,88.0,2.78
La Ronge,55.1001,55.1001,-105.2842,-6.0,50.0,65.0,2.06
Tocopilla,-22.092,22.092,-70.1979,18.0,74.0,15.0,1.61
Ekhabi,53.5102,53.5102,142.9671,1.0,59.0,17.0,5.04
Codrington,-38.2667,38.2667,141.9667,16.0,71.0,70.0,5.77
Laguna,38.421,38.421,-121.4238,12.0,71.0,1.0,3.6
Coquimbo,-29.9533,29.9533,-71.3436,12.0,76.0,0.0,3.6
Kontagora,10.3999,10.3999,5.4695,27.0,64.0,100.0,1.73
Busselton,-33.65,33.65,115.3333,26.0,46.0,20.0,1.34
Ubon Ratchathani,15.1667,15.1667,105.1667,36.0,52.0,40.0,2.06
Yatou,37.15,37.15,122.3833,10.0,92.0,100.0,6.69
Taybad,34.74,34.74,60.7756,23.0,10.0,8.0,11.13
Port Hawkesbury,45.6169,45.6169,-61.3485,4.0,70.0,90.0,4.12
Sukhumi,43.0033,43.0033,41.0153,15.0,56.0,100.0,1.71
Anadyr,64.75,64.75,177.4833,-2.0,74.0,0.0,2.0
Torbay,47.6666,47.6666,-52.7314,3.0,93.0,90.0,4.63
Tairua,-37.0167,37.0167,175.85,18.0,69.0,1.0,5.81
Boende,-0.2167,0.2167,20.8667,21.0,97.0,100.0,1.04
San Patricio,28.017,28.017,-97.5169,24.0,94.0,90.0,2.06
Kuppam,12.75,12.75,78.3667,30.0,51.0,82.0,2.59
Tura,25.5198,25.5198,90.2201,34.0,17.0,25.0,2.86
Mar Del Plata,-38.0023,38.0023,-57.5575,16.0,100.0,90.0,2.06
Sadri,25.1833,25.1833,73.4333,33.0,23.0,100.0,1.81
Maniitsoq,65.4167,65.4167,-52.9,-2.0,67.0,20.0,2.69
Teahupoo,-17.8333,17.8333,-149.2667,26.0,83.0,40.0,1.03
Port Hardy,50.6996,50.6996,-127.4199,8.0,93.0,90.0,1.54
Loviisa,60.4566,60.4566,26.2251,0.0,96.0,94.0,1.03
Pevek,69.7008,69.7008,170.3133,-7.0,89.0,48.0,1.01
Caravelas,-17.7125,17.7125,-39.2481,22.0,91.0,6.0,0.95
Kuytun,54.3419,54.3419,101.5036,0.0,91.0,100.0,5.02
Nikolskoye,59.7035,59.7035,30.7861,3.0,93.0,75.0,2.0
Coahuayana,18.7333,18.7333,-103.6833,22.0,74.0,62.0,0.38
Abha,18.2164,18.2164,42.5053,21.0,28.0,40.0,2.32
Shima,24.4478,24.4478,117.8111,29.0,51.0,0.0,5.0
Necochea,-38.5473,38.5473,-58.7368,16.0,98.0,100.0,0.45
Olinda,-8.0089,8.0089,-34.8553,26.0,73.0,20.0,2.06
Santarem,-2.4431,2.4431,-54.7083,24.0,100.0,20.0,1.16
San Quintin,30.4833,30.4833,-115.95,14.0,83.0,12.0,6.28
Yulara,-25.2406,25.2406,130.9889,24.0,29.0,14.0,6.69
Nsanje,-16.92,16.92,35.262,21.0,87.0,4.0,0.81
Humaita,-7.5061,7.5061,-63.0208,23.0,97.0,63.0,0.45
Kodiak,57.79,57.79,-152.4072,5.0,81.0,90.0,3.6
Piacabucu,-10.4056,10.4056,-36.4344,25.0,86.0,24.0,1.83
Sheksna,59.21,59.21,38.5107,5.0,100.0,90.0,1.0
Tomatlan,19.9333,19.9333,-105.25,21.0,72.0,72.0,0.94
Port Pirie,-33.1833,33.1833,138.0167,20.0,52.0,0.0,4.63
Chateau-Thierry,49.05,49.05,3.4,4.0,66.0,4.0,0.45
Bethune,50.5333,50.5333,2.6333,5.0,86.0,55.0,2.68
San Luis,-33.295,33.295,-66.3356,14.0,81.0,8.0,2.08
Coihaique,-45.5752,45.5752,-72.0662,7.0,97.0,89.0,2.78
Bougouni,11.417,11.417,-7.479,28.0,46.0,89.0,2.16
Nioro,13.35,13.35,-15.75,24.0,43.0,65.0,3.17
Grindavik,63.8424,63.8424,-22.4338,8.0,93.0,75.0,9.77
Kathua,32.3667,32.3667,75.5167,27.0,25.0,0.0,0.53
Nalut,30.3333,30.3333,10.85,14.0,71.0,19.0,6.02
Naryan-Mar,67.6713,67.6713,53.087,3.0,78.0,72.0,3.16
Hobart,-42.8794,42.8794,147.3294,16.0,45.0,40.0,5.66
Antonina,-25.4286,25.4286,-48.7119,14.0,94.0,90.0,0.51
Banda Aceh,5.5577,5.5577,95.3222,30.0,63.0,100.0,5.85
Bambous Virieux,-20.3428,20.3428,57.7575,27.0,94.0,75.0,6.17
Santa Marta,11.2408,11.2408,-74.199,29.0,71.0,18.0,1.79
Aksehir,38.3575,38.3575,31.4164,12.0,62.0,6.0,1.99
Gemena,3.25,3.25,19.7667,21.0,98.0,100.0,0.58
Utete,-7.986,7.986,38.758,23.0,89.0,99.0,2.29
Faanui,-16.4833,16.4833,-151.75,27.0,73.0,100.0,4.99
Cabedelo,-6.9811,6.9811,-34.8339,24.0,94.0,0.0,1.54
Hobyo,5.3505,5.3505,48.5268,30.0,66.0,89.0,3.91
Sorong,-0.8833,0.8833,131.25,29.0,74.0,84.0,5.28
Port Alfred,-33.5906,33.5906,26.891,17.0,75.0,0.0,5.51
Chuy,-33.6971,33.6971,-53.4616,18.0,92.0,44.0,3.9
Parabel,58.6978,58.6978,81.4825,5.0,65.0,7.0,1.2
Vangaindrano,-23.35,23.35,47.6,23.0,86.0,70.0,1.41
Kaitangata,-46.2817,46.2817,169.8464,12.0,68.0,84.0,0.89
Konya,38.1667,38.1667,32.5,13.0,54.0,0.0,5.66
Geraldton,-28.7667,28.7667,114.6,30.0,28.0,3.0,5.14
Ayan,56.45,56.45,138.1667,2.0,65.0,99.0,1.62
Chifeng,42.2683,42.2683,118.9636,12.0,59.0,100.0,5.77
Muros,42.7762,42.7762,-9.0603,14.0,95.0,90.0,3.35
Shizunai,42.3339,42.3339,142.3669,10.0,67.0,100.0,1.34
Petropavlovsk-Kamchatskiy,53.0452,53.0452,158.6483,5.0,81.0,89.0,5.0
Avarua,-21.2078,21.2078,-159.775,26.0,78.0,75.0,4.63
Nome,64.5011,64.5011,-165.4064,3.0,65.0,1.0,1.38
Arrecife,28.963,28.963,-13.5477,17.0,77.0,20.0,3.09
Alofi,-19.0595,19.0595,-169.9187,26.0,94.0,21.0,2.06
Yenagoa,4.9247,4.9247,6.2642,25.0,92.0,100.0,2.1
Svetlaya,46.5389,46.5389,138.3297,4.0,83.0,100.0,3.54
Lorengau,-2.0226,2.0226,147.2712,26.0,79.0,95.0,2.17
Novyy Urengoy,66.0833,66.0833,76.6333,1.0,100.0,100.0,3.87
Upernavik,72.7868,72.7868,-56.1549,-2.0,91.0,100.0,2.11
Punta Arenas,-53.15,53.15,-70.9167,6.0,100.0,75.0,1.54
Serenje,-13.2325,13.2325,30.2352,15.0,92.0,16.0,1.88
Beringovskiy,63.05,63.05,179.3167,-1.0,96.0,100.0,1.78
Bilma,18.6853,18.6853,12.9164,28.0,13.0,2.0,4.54
Itarema,-2.9248,2.9248,-39.9167,25.0,89.0,55.0,3.61
Nassau,40.7507,40.7507,-73.5829,11.0,40.0,1.0,3.6
Liverpool,53.4106,53.4106,-2.9779,7.0,65.0,100.0,4.63
Iwanai,42.9744,42.9744,140.5089,13.0,56.0,100.0,2.01
Luderitz,-26.6481,26.6481,15.1594,17.0,74.0,2.0,3.49
Paka,4.6374,4.6374,103.4368,31.0,66.0,20.0,3.09
Sitka,57.0531,57.0531,-135.33,10.0,43.0,20.0,2.06
Pahalgam,34.0333,34.0333,75.3333,8.0,60.0,0.0,1.47
Minas,-34.3759,34.3759,-55.2377,19.0,94.0,0.0,3.09
Hamilton,39.1834,39.1834,-84.5333,8.0,81.0,1.0,1.6
Lhokseumawe,5.1801,5.1801,97.1507,30.0,64.0,100.0,3.06
Sarahan,31.5167,31.5167,77.8,10.0,61.0,0.0,2.6
Seoul,37.5683,37.5683,126.9778,21.0,40.0,90.0,5.14
Saskylakh,71.9167,71.9167,114.0833,1.0,99.0,100.0,8.43
Sal Rei,16.1833,16.1833,-22.9167,20.0,73.0,75.0,5.14
Cabinda,-5.55,5.55,12.2,25.0,90.0,81.0,1.43
Ruteng,-8.6136,8.6136,120.4721,24.0,63.0,2.0,0.48
Ocampo,21.65,21.65,-101.5,16.0,22.0,58.0,2.91
Porbandar,21.6422,21.6422,69.6093,30.0,70.0,75.0,7.72
Tshikapa,-6.4167,6.4167,20.8,22.0,96.0,100.0,1.38
Westport,41.1415,41.1415,-73.3579,8.0,62.0,1.0,3.09
Buluang,13.3068,13.3068,123.3425,30.0,63.0,81.0,2.68
Sambava,-14.2667,14.2667,50.1667,25.0,75.0,75.0,4.01
Salalah,17.0151,17.0151,54.0924,29.0,65.0,18.0,3.38
Kununurra,-15.7667,15.7667,128.7333,33.0,19.0,59.0,5.66
Vanderhoof,54.0166,54.0166,-124.0198,2.0,62.0,24.0,1.43
High Level,58.5169,58.5169,-117.136,-4.0,58.0,20.0,2.57
Deputatskiy,69.3,69.3,139.9,-10.0,76.0,15.0,1.71
Hermanus,-34.4187,34.4187,19.2345,13.0,90.0,98.0,3.15
Chamrajnagar,11.9167,11.9167,76.95,27.0,65.0,54.0,1.48
Athabasca,54.7169,54.7169,-113.2854,-5.0,58.0,44.0,0.51
Sao Joao Da Barra,-21.6403,21.6403,-41.0511,19.0,87.0,0.0,3.25
Matamoros,25.5333,25.5333,-103.25,24.0,7.0,1.0,1.79
Tres Passos,-27.4556,27.4556,-53.9319,18.0,70.0,95.0,0.99
Hualmay,-11.0964,11.0964,-77.6139,19.0,91.0,9.0,3.84
Victoria,22.2855,22.2855,114.1577,25.0,75.0,77.0,0.89
Nouadhibou,20.931,20.931,-17.0347,17.0,94.0,0.0,7.72
Takoradi,4.8845,4.8845,-1.7554,27.0,82.0,99.0,2.76
Oussouye,12.485,12.485,-16.5469,21.0,88.0,0.0,2.06
Jacareacanga,-6.2222,6.2222,-57.7528,22.0,99.0,85.0,0.68
Bien Hoa,10.95,10.95,106.8167,34.0,52.0,75.0,1.03
Rocha,-34.4833,34.4833,-54.3333,17.0,96.0,87.0,3.72
Vila Franca Do Campo,37.7167,37.7167,-25.4333,14.0,72.0,20.0,9.77
Quatre Cocos,-20.2078,20.2078,57.7625,27.0,94.0,75.0,6.17
Otaru,43.1894,43.1894,141.0022,18.0,42.0,75.0,2.57
Sistranda,63.7256,63.7256,8.834,3.0,56.0,20.0,7.72
Fukue,32.6881,32.6881,128.8419,22.0,64.0,75.0,3.09
Tiksi,71.6872,71.6872,128.8694,-6.0,84.0,100.0,9.8
Bambanglipuro,-7.95,7.95,110.2833,29.0,63.0,6.0,4.04
Miandoab,36.9694,36.9694,46.1027,19.0,37.0,0.0,5.14
Sao Gabriel Da Cachoeira,-0.1303,0.1303,-67.0892,23.0,97.0,81.0,0.68
Pierre,44.3683,44.3683,-100.351,0.0,93.0,90.0,4.12
Belaya Gora,68.5333,68.5333,146.4167,-6.0,74.0,97.0,2.26
Eugene,44.0521,44.0521,-123.0867,10.0,71.0,90.0,3.09
Fort Nelson,58.8053,58.8053,-122.7002,-3.0,68.0,20.0,1.54
Praya,14.9215,14.9215,-23.5087,20.0,77.0,40.0,6.17
Hirara,24.8,24.8,125.2833,26.0,69.0,40.0,8.75
Alpena,45.0617,45.0617,-83.4327,6.0,56.0,1.0,2.26
Qasigiannguit,68.8193,68.8193,-51.1922,-2.0,69.0,100.0,0.51
Gibara,21.1097,21.1097,-76.1317,24.0,88.0,0.0,3.09
Mikhaylovskoye,51.8239,51.8239,79.7172,8.0,43.0,2.0,4.35
Rio Gallegos,-51.6226,51.6226,-69.2181,9.0,81.0,75.0,2.06
Gushikawa,26.3544,26.3544,127.8686,21.0,83.0,90.0,10.29
Inongo,-1.95,1.95,18.2667,21.0,96.0,100.0,2.52
Linfen,36.0889,36.0889,111.5189,17.0,48.0,100.0,6.88
Port Lincoln,-34.7333,34.7333,135.8667,18.0,58.0,76.0,4.6
Mount Gambier,-37.8333,37.8333,140.7667,16.0,77.0,90.0,5.66
Aklavik,68.2191,68.2191,-135.0107,-1.0,59.0,77.0,3.09
Altay,47.8667,47.8667,88.1167,1.0,34.0,5.0,3.42
Pisco,-13.7,13.7,-76.2167,18.0,88.0,1.0,2.06
Bethel,41.3712,41.3712,-73.414,7.0,65.0,1.0,2.33
Tautira,-17.7333,17.7333,-149.15,26.0,83.0,40.0,1.03
Inhambane,-23.865,23.865,35.3833,18.0,94.0,75.0,2.19
Chapais,49.7834,49.7834,-74.8492,2.0,51.0,1.0,3.09
Skibbereen,51.55,51.55,-9.2667,8.0,71.0,40.0,6.17
Xochihuehuetlan,17.9167,17.9167,-98.4333,22.0,47.0,92.0,2.55
Shahr-E Kord,32.3256,32.3256,50.8644,18.0,24.0,0.0,1.03
Ocala,29.1872,29.1872,-82.1401,19.0,80.0,100.0,4.94
Kapuskasing,49.4169,49.4169,-82.4331,2.0,75.0,99.0,6.17
Komsomolskiy,40.4272,40.4272,71.7189,19.0,30.0,91.0,3.09
Nizwa,22.9333,22.9333,57.5333,31.0,16.0,0.0,1.72
Hambantota,6.1241,6.1241,81.1185,32.0,74.0,20.0,1.54
Sao Jose Da Coroa Grande,-8.8978,8.8978,-35.1478,25.0,78.0,13.0,3.0
Poso,-1.3959,1.3959,120.7524,29.0,73.0,38.0,2.29
Sao Filipe,14.8961,14.8961,-24.4956,21.0,75.0,36.0,4.17
Vardo,70.3705,70.3705,31.1107,2.0,68.0,100.0,7.66
Bandarbeyla,9.4942,9.4942,50.8122,29.0,67.0,84.0,3.21
Navirai,-23.065,23.065,-54.1906,18.0,54.0,57.0,2.64
Cabo San Lucas,22.8909,22.8909,-109.9124,21.0,54.0,26.0,0.89
Durban,-29.8579,29.8579,31.0292,19.0,77.0,75.0,6.69
Krivosheino,57.3431,57.3431,83.9261,4.0,61.0,51.0,2.44
Santa Helena De Goias,-17.8136,17.8136,-50.5969,18.0,49.0,38.0,1.07
Dukat,62.55,62.55,155.55,-10.0,86.0,100.0,4.48
Sangar,63.9242,63.9242,127.4739,-2.0,80.0,99.0,5.76
Pyay,18.8167,18.8167,95.2167,38.0,30.0,5.0,1.72
Kholtoson,50.2981,50.2981,103.3097,1.0,91.0,100.0,1.27
Constitucion,-35.3333,35.3333,-72.4167,13.0,71.0,1.0,2.7
Whitehorse,60.7161,60.7161,-135.0538,4.0,45.0,40.0,1.54
Margate,51.3813,51.3813,1.3862,6.0,79.0,95.0,0.89
Beloha,-25.1667,25.1667,45.05,23.0,65.0,1.0,5.57
Gizo,-8.103,8.103,156.8419,29.0,74.0,90.0,4.91
Te Anau,-45.4167,45.4167,167.7167,10.0,72.0,58.0,1.69
Xining,36.6167,36.6167,101.7667,7.0,84.0,100.0,2.57
Banjar,-8.19,8.19,114.9675,31.0,66.0,20.0,2.06
Bonavista,48.6499,48.6499,-53.1147,2.0,86.0,45.0,2.06
Hukuntsi,-24.0,24.0,21.75,15.0,40.0,0.0,3.31
Kondagaon,19.6,19.6,81.6667,37.0,12.0,3.0,1.08
Dikson,73.5069,73.5069,80.5464,0.0,98.0,100.0,6.29
Chumikan,54.7183,54.7183,135.315,3.0,55.0,99.0,1.74
Makat,47.6469,47.6469,53.3463,13.0,57.0,0.0,6.59
Siderno,38.2779,38.2779,16.302,10.0,88.0,90.0,5.66
Erzin,36.9559,36.9559,36.2,20.0,46.0,20.0,5.36
Sorland,67.667,67.667,12.6934,2.0,60.0,98.0,9.68
Saint George,37.1041,37.1041,-113.5841,19.0,14.0,1.0,0.91
Solnechnyy,50.7214,50.7214,136.6319,6.0,41.0,84.0,5.2
Pindiga,9.9833,9.9833,10.9333,26.0,65.0,89.0,6.22
Dickinson,29.4608,29.4608,-95.0513,21.0,73.0,1.0,4.12
Tasiilaq,65.6145,65.6145,-37.6368,3.0,60.0,75.0,10.29
Bakel,14.905,14.905,-12.4568,29.0,13.0,38.0,5.55
Catazaja,17.725,17.725,-92.0167,27.0,53.0,96.0,6.68
Moctezuma,29.8,29.8,-109.6667,18.0,20.0,0.0,0.97
Cockburn Town,21.4612,21.4612,-71.1419,26.0,78.0,11.0,7.86
Ekibastuz,51.6667,51.6667,75.3667,7.0,35.0,8.0,3.61
New Norfolk,-42.7826,42.7826,147.0587,14.0,70.0,75.0,1.79
Tuktoyaktuk,69.4541,69.4541,-133.0374,-11.0,85.0,20.0,4.12
Hovd,48.0056,48.0056,91.6419,5.0,15.0,34.0,4.53
Minab,27.1467,27.1467,57.0801,31.0,48.0,12.0,3.09
Coruripe,-10.1256,10.1256,-36.1756,25.0,86.0,40.0,2.85
Urzhum,57.1141,57.1141,49.9996,7.0,86.0,72.0,4.3
Jaswantnagar,26.8786,26.8786,78.9028,34.0,20.0,0.0,4.38
Kavaratti,10.5669,10.5669,72.642,29.0,66.0,39.0,1.44
Emba,48.8264,48.8264,58.1442,14.0,53.0,80.0,5.56
Kamenka,51.3223,51.3223,42.7678,11.0,85.0,100.0,4.52
Nuevo Progreso,23.1667,23.1667,-97.95,24.0,74.0,27.0,0.45
Shangzhi,45.2167,45.2167,127.9667,11.0,20.0,100.0,6.01
Gweta,-20.1833,20.1833,25.2333,17.0,38.0,3.0,2.79
Ishigaki,24.3448,24.3448,124.1572,26.0,69.0,20.0,8.75
Puri,19.8,19.8,85.85,36.0,38.0,20.0,4.63
San Ignacio,17.1561,17.1561,-89.0714,24.0,78.0,0.0,2.06
Praia,14.9215,14.9215,-23.5087,20.0,77.0,40.0,6.17
Ballyhaunis,53.7667,53.7667,-8.7667,7.0,67.0,95.0,3.52
Pali,25.7667,25.7667,73.3333,34.0,21.0,77.0,4.3
Mwinilunga,-11.7358,11.7358,24.4293,15.0,85.0,58.0,1.88
Bonoua,5.2741,5.2741,-3.595,28.0,94.0,20.0,3.09
Ostashkov,57.1467,57.1467,33.1075,2.0,77.0,86.0,2.65
Payson,40.0444,40.0444,-111.7321,9.0,49.0,1.0,3.09
Deyang,31.1302,31.1302,104.382,20.0,63.0,100.0,2.64
Cherskiy,68.75,68.75,161.3,-2.0,89.0,100.0,2.67
Arman,59.7,59.7,150.1667,0.0,64.0,14.0,2.76
Karaj,35.8355,35.8355,51.0103,22.0,58.0,75.0,8.23
Lerwick,60.1545,60.1545,-1.1494,6.0,93.0,100.0,0.51
Washington,47.5001,47.5001,-120.5015,14.0,33.0,90.0,6.17
Boyolangu,-8.1181,8.1181,111.8935,30.0,60.0,5.0,3.04
Ancona,43.55,43.55,13.1667,8.0,93.0,0.0,1.54
Yola,9.2,9.2,12.4833,28.0,59.0,98.0,1.18
Pasighat,28.0667,28.0667,95.3333,33.0,28.0,1.0,2.29
Kimbe,-5.5502,5.5502,150.1429,27.0,85.0,92.0,2.07
Tongliao,43.6125,43.6125,122.2653,11.0,39.0,100.0,6.8
Ginda,30.6945,30.6945,78.4932,20.0,24.0,0.0,2.4
Half Moon Bay,37.4636,37.4636,-122.4286,9.0,87.0,90.0,2.57
Wyndham,37.6985,37.6985,-77.6125,6.0,70.0,1.0,1.15
Nanortalik,60.1432,60.1432,-45.2371,1.0,93.0,31.0,0.61
Paamiut,61.994,61.994,-49.6678,0.0,75.0,1.0,1.69
Navalmoral De La Mata,39.8916,39.8916,-5.5406,11.0,81.0,83.0,1.34
Sao Joao Dos Patos,-6.495,6.495,-43.7022,21.0,97.0,79.0,1.58
Guerrero Negro,27.9769,27.9769,-114.0611,15.0,82.0,7.0,7.18
